,Ministerio,Cargo,Es_Masculino,Sueldo bruto,AFP,SFS,Sueldo neto
0,Mujer,MINISTRO (A) DE LA MUJER,0,300000.0,8610.0,4943.8,221471.46
1,Mujer,MENSAJERO INTERNO,0,25000.0,717.5,760.0,23497.5
2,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25279.3
3,Mujer,ASESOR,0,23000.0,660.1,699.2,20222.7
4,Mujer,SECRETARIA EJECUTIVA,0,40000.0,1148.0,1216.0,37168.35
5,Mujer,VICEMINISTRO (A) ADMINISTRATI,0,230000.0,6601.0,4943.8,171512.55
6,Mujer,VICEMINISTRO (A),0,230000.0,6601.0,4943.8,174099.19
7,Mujer,VICE MINISTRO (A) DE LA MUJER,0,230000.0,6601.0,4943.8,167141.55
8,Mujer,ASESOR (A),0,150000.0,4305.0,4560.0,113513.38
9,Mujer,ASISTENTE DEL DESPACHO,0,125000.0,3587.5,3800.0,94146.51
10,Mujer,ASISTENTE VICEMINISTRO,0,50000.0,1435.0,1520.0,45066.0
11,Mujer,ASISTENTE VICEMINISTRO,0,50000.0,1435.0,1520.0,45066.0
12,Mujer,ASISTENTE VICEMINISTRO,0,50000.0,1435.0,1520.0,45166.0
13,Mujer,SECRETARIA EJECUTIVA,0,75000.0,2152.5,2280.0,63133.12
14,Mujer,DIRECTOR(A) DE GABINETE,0,190000.0,5453.0,4943.8,145994.53
15,Mujer,SEGURIDAD,1,50000.0,1435.0,1520.0,45166.0
16,Mujer,ASISTENTE DEL DESPACHO,0,125000.0,3587.5,3800.0,98132.08
17,Mujer,SUPERVISOR MAYORDOMIA,0,65000.0,1865.5,1976.0,56705.92
18,Mujer,SECRETARIA I,0,27000.0,774.9,820.8,25379.3
19,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
20,Mujer,CHOFER,1,25000.0,717.5,760.0,22397.5
21,Mujer,CONSERJE,0,15000.0,430.5,456.0,13488.5
22,Mujer,CONSERJE,0,15000.0,430.5,456.0,13288.5
23,Mujer,SECRETARIA I,0,27000.0,774.9,820.8,24379.3
24,Mujer,SUPERVISOR MAYORDOMIA,0,31500.0,904.05,957.6,29513.35
25,Mujer,SUPERVISOR MANTENIMIENTO,1,36500.0,1047.55,1109.6,32217.85
26,Mujer,CHOFER,1,40000.0,1148.0,1216.0,37168.35
27,Mujer,CONSERJE OPM BANI,0,15000.0,430.5,456.0,13488.5
28,Mujer,CHOFER,1,25000.0,717.5,760.0,23397.5
29,Mujer,SECRETARIA I,0,27000.0,774.9,820.8,24779.3
30,Mujer,ASISTENTE DEL DESPACHO,0,70000.0,2009.0,2128.0,60369.52
31,Mujer,CHOFER,1,25000.0,717.5,760.0,23497.5
32,Mujer,ENCARGADO DE LA OFICINA DE AC,1,115000.0,3300.5,3496.0,87384.76
33,Mujer,ABOGADO (A) I,0,50000.0,1435.0,1520.0,36617.42
34,Mujer,DIRECTOR (A) JURIDICO,1,155000.0,4448.5,4712.0,120671.76
35,Mujer,ENCARGADO DESARROLLO ORGANIZA,0,115000.0,3300.5,3496.0,92444.76
36,Mujer,ANALISTA COOPERACION INTERNAC,0,50000.0,1435.0,1520.0,43117.42
37,Mujer,"ENCARGADO (A) FORMULACION, MO",0,115000.0,3300.5,3496.0,92444.76
38,Mujer,ASISTENTE,1,50000.0,1435.0,1520.0,43880.42
39,Mujer,ASISTENTE DE AREA,0,40000.0,1148.0,1216.0,37168.35
40,Mujer,SECRETARIA EJECUTIVA,0,33000.0,947.1,1003.2,30924.7
41,Mujer,MENSAJERO INTERNO,0,18000.0,516.6,547.2,16811.2
42,Mujer,SECRETARIA,1,31500.0,904.05,957.6,29513.35
43,Mujer,DIRECTOR (A) RECURSOS HUMANOS,0,155000.0,4448.5,4712.0,110671.76
44,Mujer,ANALISTA DE RECURSOS HUMANOS,0,50000.0,1435.0,1520.0,42160.42
45,Mujer,TECNICO DE RECURSOS HUMANOS,0,47000.0,1348.9,1428.8,39586.31
46,Mujer,DISEÑADOR GRAFICO,0,42000.0,1205.4,1276.8,38767.88
47,Mujer,SOPORTE TECNICO,1,42000.0,1205.4,1276.8,35382.3
48,Mujer,SOPORTE TECNICO,1,42000.0,1205.4,1276.8,38667.88
49,Mujer,SOPORTE MESA DE AYUDA,1,42000.0,1205.4,1276.8,38667.88
50,Mujer,SOPORTE TECNICO,1,43000.0,1234.1,1307.2,37400.14
51,Mujer,SECRETARIA,0,31500.0,904.05,957.6,29613.35
52,Mujer,ADMINISTRADOR BASE DE DATOS,1,50000.0,1435.0,1520.0,45066.0
53,Mujer,ANALISTA PROGRAMADOR,1,70000.0,2009.0,2128.0,60369.52
54,Mujer,SECRETARIA EJECUTIVA,0,36500.0,1047.55,1109.6,29844.85
55,Mujer,SECRETARIA,0,40000.0,1148.0,1216.0,37168.35
56,Mujer,ENC. CONTROL DE BIENES,1,110000.0,3157.0,3344.0,88118.88
57,Mujer,SUPERVISOR MANTENIMIENTO,1,36000.0,1033.2,1094.4,33747.4
58,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
59,Mujer,SECRETARIA EJECUTIVA,0,40000.0,1148.0,1216.0,36068.35
60,Mujer,DIRECTOR FINANCIERO,1,155000.0,4448.5,4712.0,119302.33
61,Mujer,TECNICO DE COMPRAS,0,40000.0,1148.0,1216.0,35068.35
62,Mujer,TECNICO CONTABILIDAD,0,47000.0,1348.9,1428.8,36996.6
63,Mujer,ENCARGADA CONTABILIDAD,0,115000.0,3300.5,3496.0,86623.59
64,Mujer,MENSAJERO MOTORIZADO,1,22000.0,631.4,668.8,18990.78
65,Mujer,CONTADORA,0,50000.0,1435.0,1520.0,41311.46
66,Mujer,ENC. DPTO. PRESUPUESTO,0,115000.0,3300.5,3496.0,82819.87
67,Mujer,SECRETARIA,0,31500.0,904.05,957.6,29513.35
68,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,25279.3
69,Mujer,SECRETARIA,0,31500.0,904.05,957.6,29513.35
70,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,25279.3
71,Mujer,SUPERVISOR MAYORDOMIA,0,31500.0,904.05,957.6,24488.45
72,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,25279.3
73,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,24279.3
74,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,23766.85
75,Mujer,RECEPCIONISTA,0,27000.0,774.9,820.8,24379.3
76,Mujer,MENSAJERO MOTORIZADO,1,21000.0,602.7,638.4,19633.9
77,Mujer,ENCARGADO (A) DIVISION ARCHIV,0,110000.0,3157.0,3344.0,78916.38
78,Mujer,AUXILIAR,0,27000.0,774.9,820.8,25279.3
79,Mujer,TECNICO DE COMPRAS,0,45000.0,1291.5,1368.0,40347.11
80,Mujer,OPERADOR FOTOCOPIADORA,1,25000.0,717.5,760.0,23397.5
81,Mujer,CONSERJE,1,15000.0,430.5,456.0,14088.5
82,Mujer,SUPERVISOR MAYORDOMIA,0,25000.0,717.5,760.0,21164.86
83,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
84,Mujer,CONSERJE,1,15400.0,441.98,468.16,14364.86
85,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
86,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
87,Mujer,CONSERJE,0,15000.0,430.5,456.0,13488.5
88,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
89,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
90,Mujer,SECRETARIA,0,31500.0,904.05,957.6,29613.35
91,Mujer,CONSERJE,0,18000.0,516.6,547.2,16811.2
92,Mujer,AYUDANTE MANTENIMIENTO,1,25000.0,717.5,760.0,23497.5
93,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
94,Mujer,AUXILIAR DE MANTENIMIENTO II,1,31500.0,904.05,957.6,29513.35
95,Mujer,AYUDANTE MANTENIMIENTO,1,36500.0,1047.55,1109.6,34217.85
96,Mujer,AYUDANTE MANTENIMIENTO,1,25000.0,717.5,760.0,23497.5
97,Mujer,AUXILIAR,0,16500.0,473.55,501.6,15499.85
98,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
99,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
100,Mujer,AYUDANTE MANTENIMIENTO,1,25000.0,717.5,760.0,23397.5
101,Mujer,CONSERJE,0,15000.0,430.5,456.0,12476.05
102,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
103,Mujer,CONSERJE,0,15000.0,430.5,456.0,12076.05
104,Mujer,ENC. DE ALMACEN Y SUMINISTRO,0,110000.0,3157.0,3344.0,87782.04
105,Mujer,AUXILIAR ALMACEN,1,36000.0,1033.2,1094.4,33747.4
106,Mujer,CHOFER,1,25000.0,717.5,760.0,23497.5
107,Mujer,CHOFER,1,25000.0,717.5,760.0,23397.5
108,Mujer,AYUDANTE MANTENIMIENTO,1,36500.0,1047.55,1109.6,34217.85
109,Mujer,AUXILIAR ADMINISTRATIVO (A),1,36500.0,1047.55,1109.6,34217.85
110,Mujer,CHOFER,1,25000.0,717.5,760.0,22897.5
111,Mujer,CHOFER,1,25000.0,717.5,760.0,23497.5
112,Mujer,CHOFER,1,25000.0,717.5,760.0,23397.5
113,Mujer,CHOFER,1,25000.0,717.5,760.0,23497.5
114,Mujer,CHOFER,1,25000.0,717.5,760.0,23397.5
115,Mujer,CHOFER I,1,25000.0,717.5,760.0,21885.05
116,Mujer,CHOFER I,1,25000.0,717.5,760.0,21885.05
117,Mujer,SECRETARIA,0,36500.0,1047.55,1109.6,33217.85
118,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
119,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
120,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
121,Mujer,SECRETARIA SAN JOSE DE OCOA ,0,27000.0,774.9,820.8,25379.3
122,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
123,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
124,Mujer,ABOGADO (A),0,50000.0,1435.0,1520.0,43880.42
125,Mujer,CONSERJE OPM ELIAS PIÑA,0,15000.0,430.5,456.0,14088.5
126,Mujer,SEC.OPM PEDERNALES,0,27000.0,774.9,820.8,23879.3
127,Mujer,CONSERJE,0,15000.0,430.5,456.0,13988.5
128,Mujer,CHOFER,1,25000.0,717.5,760.0,23497.5
129,Mujer,CONSERJE,0,15000.0,430.5,456.0,14088.5
130,Mujer,SECRETARIA,0,27000.0,774.9,820.8,25379.3
